N,P,K,temperature,humidity,ph,rainfall
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281
56,37,27,27.709,61.243,7.026,712.404
34,32,35,27.231,51.819,6.407,609.52
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357
40,23,28,27.733,60.14,6.904,673.714
72,30,38,19.648,51.053,7.155,779.549
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609
83,28,29,24.859,61.2,6.36,104.301
37,31,23,28.022,60.205,7.3,663.716
37,26,26,33.368,54.538,6.051,502.73
40,42,41,23.651,55.191,6.63,402.746
54,27,28,28.895,67.043,6.38,663.665
84,44,21,21.869274,61.91044947,5.850439831,107.2681929
46,41,41,23.1,69.5,5.8,135.7
54,43,90,27.994,75.532,6.001,858.767
57,49,110,27.906,80.085,5.916,1219.184
64,38,98,25.759,72.932,5.78,935.947
83,43,38,19.04,68.979,6.66,554.995
41,27,22,25.941,63.737,6.492,681.004
75,28,42,21.3,58.1,6.9,89.8
45,29,27,26.745,59.363,5.749,466.23
57,25,33,26.475,64.375,5.791,665.711
31,47,26,26.275,64.685,6.314,586.155
37,38,39,26.091,69.688,6.206,640.163
29,43,31,28.696,61.255,6.507,762.204
45,36,34,29.246,52.746,5.798,621.757
60,34,31,29.379,36.857,6.835,559.71
77,55,31,23.321,62.89,6.523,63.049
34,31,28,30.422,61.804,5.195,543.311
72,53,78,23.873,79.161,6.15,953.503
44,33,33,24.222,59.87,6.046,525.032
62,48,23,27.8,71.6,6.1,131.4
89,76,116,21.701,78.653,5.221,650.961
64,47,42,24.237,74.751,6.399,81.249
66,33,46,22.532,56.377,6.602,694.039
25,27,24,29.779,54.629,6.427,716.572
47,35,20,30.673,62.157,6.276,667.75
123,77,158,15.76,79.103,6.044,655.722
88,45,22,26.626,73.798,6.901,82.367
47,44,32,23.518,64.917,6.587,81.421
61,53,47,25.599,74.511,6.94,72.726
59,35,35,23.019,51.475,6.306,645.65
128,98,113,18.334,76.476,5.811,640.04
73,60,20,29.5,58.0,6.8,113.7
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249
63,50,90,26.074,79.433,5.5,1472.234
70,51,89,23.104,59.145,5.658,1058.123
82,47,35,22.6,78.4,5.7,54.5
48,32,121,29.443,86.276,5.657,972.51
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308
36,23,30,31.028,70.941,7.226,897.002
19,49,42,23.941,63.157,7.406,610.977
60,50,33,26.055,73.354,6.482,104.938
48,20,34,28.357,56.954,6.044,526.953
40,29,39,28.335,64.633,6.512,511.837
47,43,31,23.3,64.5,6.5,79.7
65,58,102,27.966,80.201,6.385,958.389
47,29,52,25.0,56.3,6.4,84.5
37,43,37,25.548,62.083,6.166,801.776
27,51,26,26.691,50.309,7.08,701.124
44,23,31,29.236,56.888,6.088,566.808
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082
55,35,99,22.671,69.51,5.108,945.641
68,50,94,30.502,77.658,5.641,1517.722
64,35,20,28.3,77.4,5.7,105.4
62,51,43,27.9,58.2,6.2,87.1
64,31,40,29.002,56.463,6.793,488.058
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481
34,31,28,27.822,62.069,5.958,589.021
34,47,19,27.31372793,85.44815232,6.568795403999999,53.15223123
39,23,30,31.229,46.502,6.569,445.537
78,43,32,21.836,71.824,6.014,587.088
35,40,28,28.443,52.952,5.97,540.299
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858
79,48,41,24.01,57.602,7.095,551.486
42,27,25,24.602,50.247,6.622,589.807
35,53,42,24.372,71.865,6.37,897.887
37,39,30,25.451,70.074,6.724,740.409
61,42,45,20.685,46.837,6.907,782.051
64,44,31,29.681,55.528,6.364,507.804
70,43,61,29.936,78.991,5.433,1100.509
42,41,24,27.502,61.212,6.904,828.97
43,32,57,24.6,65.2,6.2,61.7
67,33,27,27.941,76.549,5.627,54.109
36,23,22,26.57,57.592,6.446,696.461
52,46,97,25.116,82.32,6.233,944.019
35,33,39,30.319,57.838,6.451,477.822
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619
70,29,38,23.663,63.489,7.081,623.215
28,35,21,30.756,51.516,7.032,621.581
30,33,32,26.589,54.171,7.169,638.96
83,43,99,25.944,71.705,6.08,1014.398
21,58,28,26.874,67.462,7.078,841.155
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792
33,19,21,23.243,63.899,5.807,665.722
26,42,43,23.525,53.209,6.308,905.14
114,74,129,19.315,72.348,5.694,1077.271
55,50,35,23.905,64.365,6.065,588.535
62,52,33,26.9,72.6,6.1,114.1
23,34,49,27.732,58.947,6.901,950.074
41,29,30,28.051,57.852,6.61,390.045
47,21,33,26.903,55.956,6.607,715.621
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936
73,41,64,26.65,72.336,6.199,1020.517
68,33,38,30.88,54.032,7.04,487.05
90,29,36,23.2,74.3,6.5,87.4
40,58,15,29.46416042,87.60890009,6.978400282000001,43.15411472
41,35,40,26.572,66.826,6.383,466.665
70,64,34,21.4,81.6,6.5,68.4
34,57,55,20.3,73.0,7.0,87.0
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584
57,41,49,18.342,69.969,6.299,622.329
44,20,29,26.705,45.47,5.993,441.191
66,32,42,29.308,52.863,6.409,560.686
43,51,47,28.3,76.4,6.1,65.4
75,33,113,25.69,67.927,5.885,1007.642
24,36,34,27.222,58.996,7.047,724.893
51,35,29,30.425,58.716,6.16,538.009
56,58,58,31.8,65.6,6.8,111.6
71,39,122,29.58,67.86,6.071,1648.378
52,59,36,25.8,72.5,6.5,144.1
49,51,21,26.9,76.5,5.7,111.4
60,51,108,31.182,77.388,5.753,1077.096
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397
97,102,129,19.801,68.049,5.303,887.981
30,54,59,30.9,84.1,6.6,60.2
59,32,50,26.353,61.994,6.454,693.833
10,56,16,28.17432665,81.04554836,6.828187498999998,36.35720652
44,45,19,24.468,66.231,6.561,132.922
26,35,30,23.207,59.134,6.81,811.848
59,44,30,27.946,48.559,6.468,387.848
43,40,30,28.353,47.033,6.279,413.521
49,30,41,29.664,55.871,6.835,489.515
89,35,24,26.6,78.9,5.9,142.5
72,61,82,27.493,76.978,5.977,1506.033
46,40,81,22.419,66.868,6.432,804.444
44,32,36,28.608,54.813,5.985,663.821
43,24,20,25.052,53.847,6.721,638.062
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009
80,57,35,27.811,60.308,6.904,59.647
54,27,89,24.951,74.256,6.114,1246.27
37,32,34,27.002,58.464,7.139,642.091
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615
68,36,25,20.2,57.3,6.6,96.2
21,25,24,26.858,58.541,6.675,801.001
