District,Season,Crop,Year,Cultivated Area,Production,Agro_Ecological_Zone,Spatial_Check,AEZ_standardized,Crop_standardized,Yield
Ampara,Maha,Ash Plantain,2018,227.57,5647.98,Dry,Unverified,Dry Zone,Ash Plantain,24.818649206837456
Ampara,Maha,Ash Plantain,2018,116.99,3320.1,Dry,Unverified,Dry Zone,Ash Plantain,28.37934866227883
Ampara,Maha,Banana,2018,176.93,5122.97,Dry,Unverified,Dry Zone,Banana,28.9547843780026
Ampara,Maha,Black Gram,2018,31.24,201.03,Dry,Unverified,Dry Zone,Black Gram,6.4350192061459675
Ampara,Maha,Carrot,2018,77.8,1267.06,Dry,Supported envelope,Dry Zone,Carrot,16.28611825192802
Ampara,Maha,Carrot,2018,66.16,808.93,Dry,Supported envelope,Dry Zone,Carrot,12.226874244256349
Ampara,Maha,Cassava,2018,118.85,2657.79,Dry,Supported envelope,Dry Zone,Manioc,22.3625578460244
Ampara,Maha,Chilli,2018,53.98,399.64,Dry,Supported envelope,Dry Zone,Chillies (Green),7.403482771396813
Ampara,Maha,Chilli,2018,61.09,466.1,Dry,Supported envelope,Dry Zone,Chillies (Green),7.629726632836798
Ampara,Maha,Chilli,2018,50.75,546.06,Dry,Supported envelope,Dry Zone,Chillies (Green),10.759802955665023
Ampara,Maha,Coconut,2018,122.37,3771.16,Dry,Unverified,Dry Zone,Coconut,30.81768407289368
Ampara,Maha,Cowpea,2018,43.34,306.84,Dry,Supported envelope,Dry Zone,Cowpea,7.079833871712043
Ampara,Maha,Green Gram,2018,66.71,444.27,Dry,Supported envelope,Dry Zone,Green Gram,6.659721181232199
Ampara,Maha,Groundnut,2018,53.91,508.89,Dry,Supported envelope,Dry Zone,Ground Nuts,9.439621591541458
Ampara,Maha,Mango,2018,161.08,3644.84,Dry,Unverified,Dry Zone,Mango,22.62751427861932
Ampara,Maha,Mango,2018,132.87,3773.15,Dry,Unverified,Dry Zone,Mango,28.397305637088884
Ampara,Maha,Pumpkin,2018,88.75,1213.77,Dry,Unverified,Dry Zone,Pumpkin,13.676281690140845
Ampara,Maha,Pumpkin,2018,159.55,2966.53,Dry,Unverified,Dry Zone,Pumpkin,18.593105609526795
