District,Year,Season,total_area,total_production,n_crops,avg_yield
Ampara,2018,Maha,3076.16,57728.67,22,18.766471835015086
Ampara,2018,Yala,1810.66,33288.81,18,18.38490384721593
Ampara,2019,Maha,2111.8,35301.05,17,16.71609527417369
Ampara,2019,Yala,2174.03,43623.05,16,20.065523474837054
Ampara,2020,Maha,5183.85,109249.12,22,21.07489992958901
Ampara,2020,Yala,2132.46,36468.62,16,17.10166661977247
Ampara,2021,Maha,3799.1,64757.81,23,17.045566055118318
Ampara,2021,Yala,1791.22,35318.08,14,19.717332320987932
Ampara,2022,Maha,2259.31,34080.06,16,15.084277943265864
Ampara,2022,Yala,1289.65,18697.69,13,14.498266971658975
Ampara,2023,Maha,2590.89,50177.020000000004,17,19.36671182489415
Ampara,2023,Yala,1730.32,29246.47,10,16.90234754265107
Ampara,2024,Maha,2223.04,41163.15,15,18.516603389952497
Ampara,2024,Yala,2710.29,51873.94,19,19.139627124772627
Ampara,2025,Maha,2272.59,39183.12,16,17.241614193497288
Ampara,2025,Yala,1755.28,31960.39,15,18.208143430108017
Ampara,2026,Maha,2482.33,42106.57,21,16.962519084892016
Ampara,2026,Yala,1606.45,35805.77,11,22.288754707585046
Anuradhapura,2018,Maha,3154.77,81736.75,14,25.908941063849344
Anuradhapura,2018,Yala,2613.76,55687.41,13,21.305479462536727
Anuradhapura,2019,Maha,2417.71,41823.86,15,17.2989564505255
Anuradhapura,2019,Yala,1367.94,23504.83,14,17.182646899717824
Anuradhapura,2020,Maha,4502.43,90839.05,19,20.17556075274907
Anuradhapura,2020,Yala,2376.81,48682.09,11,20.482112579465753
Anuradhapura,2021,Maha,4030.98,73703.53,19,18.284270822479893
Anuradhapura,2021,Yala,2622.93,57970.07,16,22.101264616287892
Anuradhapura,2022,Maha,3143.39,58568.42,17,18.63224735079007
Anuradhapura,2022,Yala,2417.62,44790.85,14,18.52683631009009
Anuradhapura,2023,Maha,4510.93,99769.95000000001,17,22.117379343062296
Anuradhapura,2023,Yala,3133.1,60038.07,20,19.162513165874056
Anuradhapura,2024,Maha,3985.9900000000002,84587.92,22,21.221307629973982
Anuradhapura,2024,Yala,3192.8,61112.57,14,19.1407448008018
Anuradhapura,2025,Maha,2937.27,54826.13,17,18.665675950797848
Anuradhapura,2025,Yala,2105.33,40396.11,17,19.187543045508306
Anuradhapura,2026,Maha,2725.38,56427.659999999996,14,20.704510930585823
Anuradhapura,2026,Yala,2282.25,44445.71,15,19.474514185562494
Badulla,2018,Maha,3204.85,66181.52,19,20.650426697037304
Badulla,2018,Yala,2358.65,48664.79,17,20.63247620460857
Badulla,2019,Maha,2116.89,36853.26,18,17.40915210521095
Badulla,2019,Yala,2544.63,43793.41,21,17.21012878100156
Badulla,2020,Maha,3603.83,66430.56,20,18.433322326524834
Badulla,2020,Yala,2675.06,54833.22,20,20.497940233116267
Badulla,2021,Maha,3336.23,64099.23,21,19.2130728397023
Badulla,2021,Yala,2597.14,44872.24,21,17.2775591612312
Badulla,2022,Maha,3131.9,57649.1,22,18.407069191225773
Badulla,2022,Yala,2806.22,51534.02,19,18.364212356835885
Badulla,2023,Maha,3009.63,47024.04,22,15.624525273870875
Badulla,2023,Yala,2183.05,38498.49,19,17.635184718627606
