District,Crop,Year,Cultivated Area,Production,Agro_Ecological_Zone,Crop_standardized,Yield,Season_Maha,Season_Yala,SpatialCheck_Supported envelope,SpatialCheck_Unverified,AEZ_Dry Zone,AEZ_Intermediate Zone,AEZ_Unknown,AEZ_Up Country Intermediate Zone,AEZ_Up Country Wet Zone,AEZ_Wet Zone,District_encoded,Crop_encoded
Ampara,Ash Plantain,2018,227.57,5647.98,Dry,Ash Plantain,24.818649206837456,True,False,False,True,True,False,False,False,False,False,0,0
Ampara,Ash Plantain,2018,116.99,3320.1,Dry,Ash Plantain,28.37934866227883,True,False,False,True,True,False,False,False,False,False,0,0
Ampara,Banana,2018,176.93,5122.97,Dry,Banana,28.9547843780026,True,False,False,True,True,False,False,False,False,False,0,1
Ampara,Black Gram,2018,31.24,201.03,Dry,Black Gram,6.4350192061459675,True,False,False,True,True,False,False,False,False,False,0,5
Ampara,Carrot,2018,77.8,1267.06,Dry,Carrot,16.28611825192802,True,False,True,False,True,False,False,False,False,False,0,8
Ampara,Carrot,2018,66.16,808.93,Dry,Carrot,12.226874244256349,True,False,True,False,True,False,False,False,False,False,0,8
Ampara,Cassava,2018,118.85,2657.79,Dry,Manioc,22.3625578460244,True,False,True,False,True,False,False,False,False,False,0,23
Ampara,Chilli,2018,53.98,399.64,Dry,Chillies (Green),7.403482771396813,True,False,True,False,True,False,False,False,False,False,0,10
Ampara,Chilli,2018,61.09,466.1,Dry,Chillies (Green),7.629726632836798,True,False,True,False,True,False,False,False,False,False,0,10
Ampara,Chilli,2018,50.75,546.06,Dry,Chillies (Green),10.759802955665023,True,False,True,False,True,False,False,False,False,False,0,10
Ampara,Coconut,2018,122.37,3771.16,Dry,Coconut,30.81768407289368,True,False,False,True,True,False,False,False,False,False,0,12
Ampara,Cowpea,2018,43.34,306.84,Dry,Cowpea,7.079833871712043,True,False,True,False,True,False,False,False,False,False,0,13
Ampara,Green Gram,2018,66.71,444.27,Dry,Green Gram,6.659721181232199,True,False,True,False,True,False,False,False,False,False,0,17
Ampara,Groundnut,2018,53.91,508.89,Dry,Ground Nuts,9.439621591541458,True,False,True,False,True,False,False,False,False,False,0,18
Ampara,Mango,2018,161.08,3644.84,Dry,Mango,22.62751427861932,True,False,False,True,True,False,False,False,False,False,0,22
Ampara,Mango,2018,132.87,3773.15,Dry,Mango,28.397305637088884,True,False,False,True,True,False,False,False,False,False,0,22
Ampara,Pumpkin,2018,88.75,1213.77,Dry,Pumpkin,13.676281690140845,True,False,False,True,True,False,False,False,False,False,0,29
Ampara,Pumpkin,2018,159.55,2966.53,Dry,Pumpkin,18.593105609526795,True,False,False,True,True,False,False,False,False,False,0,29
Ampara,Red Onion,2018,52.79,462.73,Dry,Red Onion,8.76548588747869,True,False,True,False,True,False,False,False,False,False,0,30
Ampara,Rice,2018,202.61,4708.09,Dry,Rice,23.237204481516212,True,False,False,True,True,False,False,False,False,False,0,31
Ampara,Ridge Gourd,2018,48.44,567.07,Dry,Ridge Gourd,11.706647398843932,True,False,False,True,True,False,False,False,False,False,0,32
Ampara,Sesame,2018,64.89,363.53,Dry,Gingelly,5.602249961473262,True,False,False,True,True,False,False,False,False,False,0,15
Ampara,Soybean,2018,45.7,370.08,Dry,Soybean,8.098030634573304,True,False,False,True,True,False,False,False,False,False,0,34
Ampara,Sweet Potato,2018,59.2,747.83,Dry,Sweet Potatoes,12.632263513513514,True,False,True,False,True,False,False,False,False,False,0,35
Ampara,Sweet Potato,2018,68.76,852.63,Dry,Sweet Potatoes,12.400087260034903,True,False,True,False,True,False,False,False,False,False,0,35
Ampara,Taro,2018,86.91,1035.97,Dry,Taro,11.920032217236223,True,False,False,True,True,False,False,False,False,False,0,36
Ampara,Tomato,2018,59.02,772.16,Dry,Tomato,13.083022704168078,True,False,False,True,True,False,False,False,False,False,0,38
Ampara,Watermelon,2018,108.08,2167.99,Dry,Watermelon,20.059122871946705,True,False,False,True,True,False,False,False,False,False,0,40
Ampara,Watermelon,2018,175.76,3048.27,Dry,Watermelon,17.343365953573056,True,False,False,True,True,False,False,False,False,False,0,40
Ampara,Watermelon,2018,121.87,2399.99,Dry,Watermelon,19.693033560351193,True,False,False,True,True,False,False,False,False,False,0,40
Ampara,Watermelon,2018,83.38,1872.29,Dry,Watermelon,22.45490525305829,True,False,False,True,True,False,False,False,False,False,0,40
Ampara,Yam,2018,88.81,1292.93,Dry,Yam,14.558383064970162,True,False,False,True,True,False,False,False,False,False,0,41
Ampara,Banana,2018,198.07,5527.73,Dry,Banana,27.907961831675667,False,True,False,True,True,False,False,False,False,False,0,1
Ampara,Big Onion,2018,50.0,461.01,Dry,Big Onion,9.2202,False,True,True,False,True,False,False,False,False,False,0,3
Ampara,Big Onion,2018,56.71,671.79,Dry,Big Onion,11.846058896138246,False,True,True,False,True,False,False,False,False,False,0,3
Ampara,Cassava,2018,160.89,3782.07,Dry,Manioc,23.507178817825846,False,True,True,False,True,False,False,False,False,False,0,23
Ampara,Chilli,2018,74.34,574.98,Dry,Chillies (Green),7.734463276836158,False,True,True,False,True,False,False,False,False,False,0,10
Ampara,Coconut,2018,172.58,5174.58,Dry,Coconut,29.98365975199907,False,True,False,True,True,False,False,False,False,False,0,12
Ampara,Cucumber,2018,75.14,1014.74,Dry,Cucumber,13.504657971786,False,True,False,True,True,False,False,False,False,False,0,14
Ampara,Ginger,2018,78.68,1227.91,Dry,Ginger,15.60638027452974,False,True,True,False,True,False,False,False,False,False,0,16
Ampara,Groundnut,2018,49.81,470.46,Dry,Ground Nuts,9.445091347119051,False,True,True,False,True,False,False,False,False,False,0,18
Ampara,Long Bean,2018,82.26,1091.21,Dry,Long Bean,13.265378069535618,False,True,False,True,True,False,False,False,False,False,0,20
Ampara,Maize,2018,96.48,1767.17,Dry,Maize,18.31643864013267,False,True,True,False,True,False,False,False,False,False,0,21
Ampara,Okra,2018,45.91,369.2,Dry,Okra,8.041820954040514,False,True,False,True,True,False,False,False,False,False,0,24
Ampara,Okra,2018,71.54,646.66,Dry,Okra,9.039138943248531,False,True,False,True,True,False,False,False,False,False,0,24
Ampara,Papaya,2018,126.84,3464.31,Dry,Papaya,27.31244087038789,False,True,False,True,True,False,False,False,False,False,0,25
Ampara,Red Onion,2018,51.99,514.58,Dry,Red Onion,9.8976726293518,False,True,True,False,True,False,False,False,False,False,0,30
Ampara,Snake Gourd,2018,76.32,771.69,Dry,Snake Gourd,10.111242138364782,False,True,False,True,True,False,False,False,False,False,0,33
Ampara,Taro,2018,45.05,627.6,Dry,Taro,13.93118756936737,False,True,False,True,True,False,False,False,False,False,0,36
Ampara,Tomato,2018,55.3,762.49,Dry,Tomato,13.788245931283907,False,True,False,True,True,False,False,False,False,False,0,38
Ampara,Turmeric,2018,52.69,631.13,Dry,Turmeric,11.978174226608465,False,True,True,False,True,False,False,False,False,False,0,39
Ampara,Watermelon,2018,100.4,2049.9,Dry,Watermelon,20.417330677290835,False,True,False,True,True,False,False,False,False,False,0,40
Ampara,Watermelon,2018,89.66,1687.6,Dry,Watermelon,18.82221726522418,False,True,False,True,True,False,False,False,False,False,0,40
Anuradhapura,Banana,2018,222.24,7040.25,Dry,Banana,31.67859071274298,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,209.33,4988.61,Dry,Banana,23.831318970047292,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,312.34,9349.28,Dry,Banana,29.933021707114047,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,263.39,8329.2,Dry,Banana,31.623068453623908,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,212.38,5860.56,Dry,Banana,27.594688765420475,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,201.49,7216.44,Dry,Banana,35.81537545287607,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,222.66,7165.54,Dry,Banana,32.18153238120902,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,179.83,5049.95,Dry,Banana,28.0817994772841,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,174.96,7208.73,Dry,Banana,41.20216049382716,True,False,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Big Onion,2018,98.56,943.38,Dry,Big Onion,9.571631493506493,True,False,True,False,True,False,False,False,False,False,1,3
Anuradhapura,Bitter Gourd,2018,54.28,525.54,Dry,Bitter Gourd,9.682019159911569,True,False,False,True,True,False,False,False,False,False,1,4
Anuradhapura,Chilli,2018,79.47,573.32,Dry,Chillies (Green),7.214294702403423,True,False,True,False,True,False,False,False,False,False,1,10
Anuradhapura,Coconut,2018,197.99,5798.39,Dry,Coconut,29.286277084701247,True,False,False,True,True,False,False,False,False,False,1,12
Anuradhapura,Cucumber,2018,74.51,1003.78,Dry,Cucumber,13.471748758555897,True,False,False,True,True,False,False,False,False,False,1,14
Anuradhapura,Okra,2018,53.22,513.72,Dry,Okra,9.652762119503947,True,False,False,True,True,False,False,False,False,False,1,24
Anuradhapura,Potato,2018,61.3,1197.41,Dry,Potatoes,19.533605220228388,True,False,True,False,True,False,False,False,False,False,1,28
Anuradhapura,Rice,2018,160.01,3733.33,Dry,Rice,23.331854259108805,True,False,False,True,True,False,False,False,False,False,1,31
Anuradhapura,Sesame,2018,35.03,183.44,Dry,Gingelly,5.236654296317442,True,False,False,True,True,False,False,False,False,False,1,15
Anuradhapura,Snake Gourd,2018,67.6,693.28,Dry,Snake Gourd,10.255621301775149,True,False,False,True,True,False,False,False,False,False,1,33
Anuradhapura,Soybean,2018,48.79,479.83,Dry,Soybean,9.834597253535561,True,False,False,True,True,False,False,False,False,False,1,34
Anuradhapura,Tomato,2018,82.08,1091.47,Dry,Tomato,13.297636452241717,True,False,False,True,True,False,False,False,False,False,1,38
Anuradhapura,Watermelon,2018,143.31,2791.3,Dry,Watermelon,19.477356779010538,True,False,False,True,True,False,False,False,False,False,1,40
Anuradhapura,Banana,2018,220.96,6767.59,Dry,Banana,30.628122737146995,False,True,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Banana,2018,257.98,9087.61,Dry,Banana,35.226025273276996,False,True,False,True,True,False,False,False,False,False,1,1
Anuradhapura,Big Onion,2018,56.66,604.13,Dry,Big Onion,10.662372043769857,False,True,True,False,True,False,False,False,False,False,1,3
Anuradhapura,Cassava,2018,118.28,2946.85,Dry,Manioc,24.914186675684814,False,True,True,False,True,False,False,False,False,False,1,23
Anuradhapura,Coconut,2018,154.79,5597.96,Dry,Coconut,36.16486853155889,False,True,False,True,True,False,False,False,False,False,1,12
Anuradhapura,Cowpea,2018,36.93,267.77,Dry,Cowpea,7.250744652044408,False,True,True,False,True,False,False,False,False,False,1,13
Anuradhapura,Ginger,2018,64.85,683.41,Dry,Ginger,10.538319198149576,False,True,True,False,True,False,False,False,False,False,1,16
Anuradhapura,Ginger,2018,100.57,1298.23,Dry,Ginger,12.908720294322364,False,True,True,False,True,False,False,False,False,False,1,16
Anuradhapura,Groundnut,2018,68.74,664.74,Dry,Ground Nuts,9.670352051207448,False,True,True,False,True,False,False,False,False,False,1,18
Anuradhapura,Long Bean,2018,51.63,500.21,Dry,Long Bean,9.688359480921944,False,True,False,True,True,False,False,False,False,False,1,20
Anuradhapura,Mango,2018,128.63,2659.8,Dry,Mango,20.677913395008943,False,True,False,True,True,False,False,False,False,False,1,22
Anuradhapura,Ridge Gourd,2018,43.57,469.81,Dry,Ridge Gourd,10.78287812715171,False,True,False,True,True,False,False,False,False,False,1,32
Anuradhapura,Ridge Gourd,2018,46.39,362.09,Dry,Ridge Gourd,7.8053459797370115,False,True,False,True,True,False,False,False,False,False,1,32
Anuradhapura,Snake Gourd,2018,36.36,389.44,Dry,Snake Gourd,10.710671067106711,False,True,False,True,True,False,False,False,False,False,1,33
Anuradhapura,Sweet Potato,2018,98.39,1138.1,Dry,Sweet Potatoes,11.567232442321373,False,True,True,False,True,False,False,False,False,False,1,35
Anuradhapura,Sweet Potato,2018,104.53,1301.59,Dry,Sweet Potatoes,12.451832009949296,False,True,True,False,True,False,False,False,False,False,1,35
Anuradhapura,Watermelon,2018,317.86,7227.11,Dry,Watermelon,22.736770905430063,False,True,False,True,True,False,False,False,False,False,1,40
Anuradhapura,Watermelon,2018,156.75,3108.16,Dry,Watermelon,19.828771929824562,False,True,False,True,True,False,False,False,False,False,1,40
Anuradhapura,Watermelon,2018,180.67,3477.87,Dry,Watermelon,19.249847788786184,False,True,False,True,True,False,False,False,False,False,1,40
Anuradhapura,Watermelon,2018,217.28,4258.07,Dry,Watermelon,19.597155743740792,False,True,False,True,True,False,False,False,False,False,1,40
Anuradhapura,Watermelon,2018,151.94,2876.87,Dry,Watermelon,18.934250361984994,False,True,False,True,True,False,False,False,False,False,1,40
Badulla,Banana,2018,124.01,3848.94,Up-country Intermediate,Banana,31.037335698733973,True,False,False,True,False,False,False,True,False,False,2,1
Badulla,Banana,2018,179.02,6849.34,Up-country Intermediate,Banana,38.26019439168808,True,False,False,True,False,False,False,True,False,False,2,1
Badulla,Banana,2018,171.41,6354.23,Up-country Intermediate,Banana,37.070357622075726,True,False,False,True,False,False,False,True,False,False,2,1
Badulla,Beans,2018,83.08,778.0,Up-country Intermediate,Beans,9.364467982667309,True,False,True,False,False,False,False,True,False,False,2,2
Badulla,Beans,2018,69.71,661.1,Up-country Intermediate,Beans,9.483574809926841,True,False,True,False,False,False,False,True,False,False,2,2
Badulla,Beans,2018,67.57,843.03,Up-country Intermediate,Beans,12.47639484978541,True,False,True,False,False,False,False,True,False,False,2,2
Badulla,Carrot,2018,115.37,1803.69,Up-country Intermediate,Carrot,15.633960301638208,True,False,True,False,False,False,False,True,False,False,2,8
Badulla,Carrot,2018,86.97,1469.18,Up-country Intermediate,Carrot,16.892951592503163,True,False,True,False,False,False,False,True,False,False,2,8
Badulla,Chilli,2018,41.51,343.97,Up-country Intermediate,Chillies (Green),8.286437003131777,True,False,True,False,False,False,False,True,False,False,2,10
Badulla,Coconut,2018,187.6,6162.23,Up-country Intermediate,Coconut,32.8477078891258,True,False,False,True,False,False,False,True,False,False,2,12
Badulla,Cucumber,2018,75.5,1306.0,Up-country Intermediate,Cucumber,17.29801324503311,True,False,False,True,False,False,False,True,False,False,2,14
Badulla,Ginger,2018,64.15,883.52,Up-country Intermediate,Ginger,13.772720187061573,True,False,True,False,False,False,False,True,False,False,2,16
Badulla,Green Gram,2018,32.11,237.79,Up-country Intermediate,Green Gram,7.4054811585175955,True,False,True,False,False,False,False,True,False,False,2,17
Badulla,Green Gram,2018,99.07,855.44,Up-country Intermediate,Green Gram,8.634702735439589,True,False,True,False,False,False,False,True,False,False,2,17
