District,Season,Crop,Year,Cultivated Area,Production,Agro_Ecological_Zone,Spatial_Check,AEZ_standardized,Crop_standardized,Yield
Ampara,Maha,Carrot,2018,77.8,1267.06,Dry,Supported envelope,Dry Zone,Carrot,16.28611825192802
Ampara,Maha,Carrot,2018,66.16,808.93,Dry,Supported envelope,Dry Zone,Carrot,12.226874244256349
Ampara,Maha,Cassava,2018,118.85,2657.79,Dry,Supported envelope,Dry Zone,Manioc,22.3625578460244
Ampara,Maha,Chilli,2018,53.98,399.64,Dry,Supported envelope,Dry Zone,Chillies (Green),7.403482771396813
Ampara,Maha,Chilli,2018,61.09,466.1,Dry,Supported envelope,Dry Zone,Chillies (Green),7.629726632836798
Ampara,Maha,Chilli,2018,50.75,546.06,Dry,Supported envelope,Dry Zone,Chillies (Green),10.759802955665023
Ampara,Maha,Cowpea,2018,43.34,306.84,Dry,Supported envelope,Dry Zone,Cowpea,7.079833871712043
Ampara,Maha,Green Gram,2018,66.71,444.27,Dry,Supported envelope,Dry Zone,Green Gram,6.659721181232199
Ampara,Maha,Groundnut,2018,53.91,508.89,Dry,Supported envelope,Dry Zone,Ground Nuts,9.439621591541458
Ampara,Maha,Red Onion,2018,52.79,462.73,Dry,Supported envelope,Dry Zone,Red Onion,8.76548588747869
Ampara,Maha,Sweet Potato,2018,59.2,747.83,Dry,Supported envelope,Dry Zone,Sweet Potatoes,12.632263513513514
Ampara,Maha,Sweet Potato,2018,68.76,852.63,Dry,Supported envelope,Dry Zone,Sweet Potatoes,12.400087260034903
Ampara,Yala,Big Onion,2018,50.0,461.01,Dry,Supported envelope,Dry Zone,Big Onion,9.2202
Ampara,Yala,Big Onion,2018,56.71,671.79,Dry,Supported envelope,Dry Zone,Big Onion,11.846058896138246
Ampara,Yala,Cassava,2018,160.89,3782.07,Dry,Supported envelope,Dry Zone,Manioc,23.507178817825846
Ampara,Yala,Chilli,2018,74.34,574.98,Dry,Supported envelope,Dry Zone,Chillies (Green),7.734463276836158
Ampara,Yala,Ginger,2018,78.68,1227.91,Dry,Supported envelope,Dry Zone,Ginger,15.60638027452974
Ampara,Yala,Groundnut,2018,49.81,470.46,Dry,Supported envelope,Dry Zone,Ground Nuts,9.445091347119051
Ampara,Yala,Maize,2018,96.48,1767.17,Dry,Supported envelope,Dry Zone,Maize,18.31643864013267
Ampara,Yala,Red Onion,2018,51.99,514.58,Dry,Supported envelope,Dry Zone,Red Onion,9.8976726293518
Ampara,Yala,Turmeric,2018,52.69,631.13,Dry,Supported envelope,Dry Zone,Turmeric,11.978174226608465
Anuradhapura,Maha,Big Onion,2018,98.56,943.38,Dry,Supported envelope,Dry Zone,Big Onion,9.571631493506493
Anuradhapura,Maha,Chilli,2018,79.47,573.32,Dry,Supported envelope,Dry Zone,Chillies (Green),7.214294702403423
Anuradhapura,Maha,Potato,2018,61.3,1197.41,Dry,Supported envelope,Dry Zone,Potatoes,19.533605220228388
Anuradhapura,Yala,Big Onion,2018,56.66,604.13,Dry,Supported envelope,Dry Zone,Big Onion,10.662372043769857
Anuradhapura,Yala,Cassava,2018,118.28,2946.85,Dry,Supported envelope,Dry Zone,Manioc,24.914186675684814
