Sample_ID,District,Latitude,Longitude,Agro_Ecological_Zone,Soil_Order_Classification,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt
SL_SOIL_00001,Galle,6.065461,80.203629,Wet Zone,Ultisols,4.49,1.128,21.5,92.6,1.57,45.5,33.1,21.4
SL_SOIL_00002,Anuradhapura,8.272322,80.773659,Dry Zone,Alfisols,6.44,0.593,7.12,104.36,1.07,71.44,18.74,9.82
SL_SOIL_00003,Batticaloa,7.560748,81.380784,Dry Zone,Vertisols,6.46,0.913,10.33,144.44,1.35,56.04,17.67,26.3
SL_SOIL_00004,Kilinochchi,9.562287,80.478765,Dry Zone,Alfisols,6.47,0.881,13.47,159.32,0.99,59.92,26.6,13.48
SL_SOIL_00005,Matara,6.088399,80.500917,Wet Zone,Ultisols,5.59,1.015,13.27,119.35,1.13,53.81,31.79,14.4
SL_SOIL_00006,Polonnaruwa,7.919548,81.290218,Dry Zone,Vertisols,6.4,0.944,15.39,150.86,0.96,63.22,28.67,8.1
SL_SOIL_00007,Galle,6.164327,80.268312,Wet Zone,Ultisols,5.63,1.437,11.75,133.3,1.91,51.46,35.26,13.28
SL_SOIL_00008,Puttalam,7.925539,80.137085,Dry Zone,Alfisols,6.99,0.742,10.67,97.64,0.88,72.51,5.0,22.49
SL_SOIL_00009,Monaragala,6.609357,81.245844,Intermediate Zone,Alfisols,5.59,0.952,9.46,135.11,1.13,58.51,20.77,20.72
SL_SOIL_00010,Kilinochchi,9.643598,80.430191,Dry Zone,Alfisols,7.31,0.866,10.55,148.73,1.06,65.91,16.58,17.51
SL_SOIL_00011,Kilinochchi,9.512943,80.532654,Dry Zone,Alfisols,6.39,0.761,9.13,150.01,0.72,68.91,19.58,11.51
SL_SOIL_00012,Ratnapura,6.680634,80.584395,Wet Zone,Ultisols,5.11,1.476,22.79,109.01,2.55,32.01,36.52,31.47
SL_SOIL_00013,Polonnaruwa,8.038737,81.179251,Dry Zone,Vertisols,6.12,0.906,19.36,130.42,1.56,57.89,25.2,16.91
SL_SOIL_00014,Kandy,7.308291,80.704861,Wet Zone,Ultisols,4.89,1.639,13.38,148.31,2.16,57.84,28.72,13.43
SL_SOIL_00015,Matara,5.996553,80.597126,Wet Zone,Ultisols,5.54,1.278,17.2,145.38,1.4,60.53,27.17,12.3
SL_SOIL_00016,Ratnapura,6.707772,80.731324,Wet Zone,Ultisols,4.62,1.419,27.99,149.14,3.28,40.12,38.67,21.21
SL_SOIL_00017,Kalutara,6.585054,80.239071,Wet Zone,Ultisols,4.88,1.429,17.22,122.06,1.69,57.85,31.7,10.45
SL_SOIL_00018,Badulla,6.860243,80.926031,Up Country Intermediate Zone,Inceptisols,5.49,1.266,17.56,129.73,1.52,47.67,39.56,12.77
SL_SOIL_00019,Polonnaruwa,8.12906,81.191886,Dry Zone,Vertisols,5.92,1.24,13.6,161.99,1.12,55.66,23.17,21.17
SL_SOIL_00020,Gampaha,7.203178,80.062051,Wet Zone,Ultisols,5.57,1.354,13.54,114.64,1.79,47.45,26.19,26.36
SL_SOIL_00021,Ratnapura,6.661337,80.732522,Wet Zone,Ultisols,4.93,1.51,14.9,137.69,2.48,47.9,31.15,20.95
SL_SOIL_00022,Mannar,9.004654,79.801604,Dry Zone,Alfisols,7.06,0.794,3.45,142.09,0.78,76.16,9.99,13.85
SL_SOIL_00023,Nuwara Eliya,7.033251,80.819031,Up Country Wet Zone,Inceptisols,4.88,1.687,17.02,120.3,2.51,31.61,45.58,22.81
SL_SOIL_00024,Gampaha,7.117321,79.982918,Wet Zone,Ultisols,6.17,1.238,16.34,117.91,1.97,61.93,23.03,15.04
SL_SOIL_00025,Polonnaruwa,8.116416,80.981216,Dry Zone,Vertisols,6.47,1.063,11.39,160.87,1.36,62.13,20.22,17.65
SL_SOIL_00026,Colombo,6.83675,79.810586,Wet Zone,Ultisols,6.25,1.423,11.8,100.29,1.25,66.44,22.68,10.88
SL_SOIL_00027,Mannar,9.164085,79.99171,Dry Zone,Alfisols,7.61,0.615,10.66,155.45,0.85,79.54,14.03,6.43
SL_SOIL_00028,Badulla,6.898514,81.091738,Up Country Intermediate Zone,Inceptisols,5.46,1.889,20.69,134.15,2.32,41.38,30.82,27.8
SL_SOIL_00029,Mannar,9.076485,79.980912,Dry Zone,Alfisols,7.4,0.64,11.22,150.41,0.83,63.39,21.18,15.43
SL_SOIL_00030,Kegalle,7.317568,80.307118,Wet Zone,Ultisols,4.95,1.589,12.01,132.41,2.7,43.93,31.81,24.26
SL_SOIL_00031,Trincomalee,8.871192,80.759857,Dry Zone,Alfisols,7.13,0.736,8.2,118.83,0.59,68.51,12.93,18.56
SL_SOIL_00032,Jaffna,9.640744,80.187687,Dry Zone,Alfisols,7.05,1.013,12.44,156.92,1.05,65.77,20.04,14.19
SL_SOIL_00033,Ampara,7.087014,81.40157,Dry Zone,Vertisols,6.44,1.14,14.74,163.26,1.42,53.51,20.68,25.81
SL_SOIL_00034,Batticaloa,7.595363,81.208237,Dry Zone,Vertisols,6.32,1.017,10.21,157.64,1.36,69.1,23.79,7.11
