Sample_ID,District,Latitude,Longitude,Agro_Ecological_Zone,Soil_Order_Classification,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt,pH_scaled,Nitrogen_scaled,Phosphorus_scaled,Potassium_scaled,Organic_Carbon_scaled,Sand_scaled,Clay_scaled,Silt_scaled
SL_SOIL_00001,Galle,6.065461,80.203629,Wet Zone,Ultisols,4.49,1.128,21.5,92.6,1.57,45.5,33.1,21.4,-1.9634054622789843,0.02255016988146552,1.7382649475845293,-2.273485341559873,0.011802422159550142,-1.1517390230910425,1.1207488989128516,0.39086512302960746
SL_SOIL_00002,Anuradhapura,8.272322,80.773659,Dry Zone,Alfisols,6.44,0.593,7.12,104.36,1.07,71.44,18.74,9.82,0.47006082793133397,-1.6723558271098415,-1.3787558341251323,-1.6502713904497477,-0.7319852107841089,1.2704580545369935,-0.5731161838744397,-1.2067439174215038
SL_SOIL_00003,Batticaloa,7.560748,81.380784,Dry Zone,Vertisols,6.46,0.913,10.33,144.44,1.35,56.04,17.67,26.3,0.49501945654887514,-0.658580277507564,-0.6829535594875791,0.47374350415006494,-0.3154641363356598,-0.16754637859607344,-0.6993303648342165,1.066882765362116
SL_SOIL_00004,Kilinochchi,9.562287,80.478765,Dry Zone,Alfisols,6.47,0.881,13.47,159.32,0.99,59.92,26.6,13.48,0.5074987708576457,-0.7599578324677918,-0.002324543175455358,1.2622999320853245,-0.8509912320550944,0.19475603702446576,0.3540272388768216,-0.7018001274343649
SL_SOIL_00005,Matara,6.088399,80.500917,Wet Zone,Ultisols,5.59,1.015,13.27,119.35,1.13,53.81,31.79,14.4,-0.59068088831419,-0.3354393210718386,-0.0456767098195399,-0.8558855803187302,-0.6427306948308701,-0.3757768906666406,0.9662249951209745,-0.5748743660168327
SL_SOIL_00006,Polonnaruwa,7.919548,81.290218,Dry Zone,Vertisols,6.4,0.944,15.39,150.86,0.96,63.22,28.67,8.1,0.42014357069625047,-0.5603707711398437,0.41385625660775394,0.81396744684794,-0.895618490031714,0.5028998441244084,0.5981985983036804,-1.4440399061586293
SL_SOIL_00007,Galle,6.164327,80.268312,Wet Zone,Ultisols,5.63,1.437,11.75,133.3,1.91,51.46,35.26,13.28,-0.5407636310791065,1.001477184966165,-0.3751531763145805,-0.1166139291294232,0.517578012561238,-0.595212632086297,1.3755364044017473,-0.7293926842642634
SL_SOIL_00008,Puttalam,7.925539,80.137085,Dry Zone,Alfisols,6.99,0.742,10.67,97.64,0.88,72.51,5.0,22.49,1.1564231149137312,-1.200316586826281,-0.6092548761926357,-2.0063936482269615,-1.0146245113026995,1.3703713495663694,-2.19384781601214,0.5412445577525532
SL_SOIL_00009,Monaragala,6.609357,81.245844,Intermediate Zone,Alfisols,5.59,0.952,9.46,135.11,1.13,58.51,20.77,20.72,-0.59068088831419,-0.5350263823997867,-0.8715354843893457,-0.020694094817405584,-0.6427306948308701,0.0630945921726716,-0.33366311158626405,0.2970504298079533
SL_SOIL_00010,Kilinochchi,9.643598,80.430191,Dry Zone,Alfisols,7.31,0.866,10.55,148.73,1.06,65.91,16.58,17.51,1.5557611727943979,-0.8074785613553986,-0.6352661761790862,0.7010894097846253,-0.746860963442982,0.7540837353664829,-0.8279036893633358,-0.14581010731191402
