District,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt
Ampara,6.45,1.08,14.79,144.99,1.41,57.22,24.6,18.18
Anuradhapura,6.3,0.86,11.43,124.47,1.01,67.45,16.18,16.38
Badulla,5.19,1.5,16.16,139.86,2.31,44.59,34.1,21.31
Batticaloa,6.83,1.01,13.73,149.88,1.32,60.17,21.84,17.99
Colombo,5.8,1.19,14.12,119.71,1.73,54.28,24.95,20.77
Galle,5.28,1.36,16.06,130.69,2.04,46.87,30.17,22.96
Gampaha,5.73,1.15,12.57,114.94,1.59,57.47,22.51,20.02
Hambantota,6.52,0.91,10.12,109.31,1.1,67.45,16.41,16.14
Jaffna,7.49,0.76,11.99,169.25,0.9,69.08,14.54,16.38
Kalutara,5.48,1.3,15.19,125.14,1.8,49.68,28.47,21.85
Kandy,5.41,1.45,15.82,134.98,2.09,47.94,32.19,19.87
Kegalle,5.28,1.4,15.18,129.27,2.12,47.84,31.43,20.73
Kilinochchi,6.91,0.84,10.99,155.96,1.02,64.24,17.26,18.49
Kurunegala,6.21,1.01,12.24,129.21,1.26,61.99,20.94,17.07
Mannar,7.18,0.72,10.32,159.75,0.81,73.04,12.26,14.7
Matale,5.61,1.3,14.25,125.05,1.91,54.48,26.58,18.94
Matara,5.39,1.26,15.17,124.45,1.84,51.96,28.08,19.95
Monaragala,5.86,0.98,11.69,129.8,1.28,62.84,19.8,17.36
Mullaitivu,6.82,0.86,12.0,151.3,1.0,66.16,17.09,16.75
Nuwara Eliya,4.79,1.7,18.01,145.73,3.27,39.79,37.83,22.38
Polonnaruwa,6.35,0.99,12.95,140.12,1.2,60.27,21.57,18.15
Puttalam,6.67,0.8,10.5,120.17,0.95,73.54,12.78,13.68
Ratnapura,5.01,1.56,16.88,135.99,2.53,44.46,35.26,20.28
Trincomalee,6.73,0.97,11.92,138.87,1.22,63.91,19.42,16.67
Vavuniya,6.6,0.96,12.74,146.69,1.18,61.31,21.83,16.86
