District,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt,N_mapped,P_mapped,K_mapped
Ampara,6.45,1.08,14.79,144.99,1.41,57.22,24.6,18.18,51.0,44.454545454545446,43.99736472241743
Anuradhapura,6.3,0.86,11.43,124.47,1.01,67.45,16.18,16.38,35.0,35.0,28.0
Badulla,5.19,1.5,16.16,139.86,2.31,44.59,34.1,21.31,82.0,48.42857142857142,39.0
Batticaloa,6.83,1.01,13.73,149.88,1.32,60.17,21.84,17.99,45.33333333333334,41.0,51.69587327302998
Colombo,5.8,1.19,14.12,119.71,1.73,54.28,24.95,20.77,59.55851063829782,42.66850321395783,24.490957897711212
Galle,5.28,1.36,16.06,130.69,2.04,46.87,30.17,22.96,72.73442136498514,48.0,32.80851063829786
Gampaha,5.73,1.15,12.57,114.94,1.59,57.47,22.51,20.02,56.0,38.0,22.0
Hambantota,6.52,0.91,10.12,109.31,1.1,67.45,16.41,16.14,37.0,31.638905775075983,20.0
Jaffna,7.49,0.76,11.99,169.25,0.9,69.08,14.54,16.38,28.833333333333336,36.08128078817733,126.16713370696543
Kalutara,5.48,1.3,15.19,125.14,1.8,49.68,28.47,21.85,67.57142857142857,45.0,28.0
Kandy,5.41,1.45,15.82,134.98,2.09,47.94,32.19,19.87,78.68749999999999,47.74999999999997,35.06883283454469
Kegalle,5.28,1.4,15.18,129.27,2.12,47.84,31.43,20.73,75.17171717171732,45.0,31.0
Kilinochchi,6.91,0.84,10.99,155.96,1.02,64.24,17.26,18.49,34.0,34.0,86.48913043478265
Kurunegala,6.21,1.01,12.24,129.21,1.26,61.99,20.94,17.07,45.33333333333334,37.0,31.0
Mannar,7.18,0.72,10.32,159.75,0.81,73.04,12.26,14.7,25.481751824817515,32.0,99.43182552504041
Matale,5.61,1.3,14.25,125.05,1.91,54.48,26.58,18.94,67.57142857142857,42.98536230794297,28.0
Matara,5.39,1.26,15.17,124.45,1.84,51.96,28.08,19.95,64.28571428571429,45.0,28.0
Monaragala,5.86,0.98,11.69,129.8,1.28,62.84,19.8,17.36,43.16594516594515,35.454545454545446,31.972784810126605
Mullaitivu,6.82,0.86,12.0,151.3,1.0,66.16,17.09,16.75,35.0,36.162561576354676,57.55382123398623
Nuwara Eliya,4.79,1.7,18.01,145.73,3.27,39.79,37.83,22.38,102.12095211735388,55.0,44.91928944369508
Polonnaruwa,6.35,0.99,12.95,140.12,1.2,60.27,21.57,18.15,44.0,39.0,39.0
Puttalam,6.67,0.8,10.5,120.17,0.95,73.54,12.78,13.68,30.9,32.444444444444436,25.0
Ratnapura,5.01,1.56,16.88,135.99,2.53,44.46,35.26,20.28,86.68141592920352,51.2183833116036,36.12712733237645
Trincomalee,6.73,0.97,11.92,138.87,1.22,63.91,19.42,16.67,42.54545454545455,36.0,38.84057416267943
Vavuniya,6.6,0.96,12.74,146.69,1.18,61.31,21.83,16.86,42.0,38.0,45.7177476835353
