district,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
Ampara,28.065008,30.109524,26.463215,4.7488756,77.19133,19.255491,3.9858904
Anuradhapura,26.86448,31.631357,23.551394,3.90127,79.02341,19.058195,4.591566
Badulla,24.843206,29.56742,21.446867,5.0143843,81.62447,19.417048,3.429148
Batticaloa,28.065008,30.109524,26.463215,4.7488756,77.19133,19.255491,3.9858904
Colombo,26.434534,28.906786,24.483046,5.6973433,83.40333,20.084682,4.321682
Galle,27.441856,28.299986,26.641914,6.1289535,81.94126,18.081512,4.8849387
Gampaha,26.434534,28.906786,24.483046,5.6973433,83.40333,18.65646,4.321682
Hambantota,27.340576,28.68116,26.277939,6.197933,82.74543,19.417048,5.8046017
Jaffna,28.12839,29.59723,26.916424,3.3156576,77.59028,19.333735,6.1697
Kalutara,26.705093,28.653654,25.122147,6.2670054,83.58033,20.084682,4.1588492
Kandy,25.11409,29.565708,21.949038,4.7298565,83.49926,18.65646,4.1924186
Kegalle,25.11409,29.565708,21.949038,4.7298565,83.49926,18.65646,4.1924186
Kilinochchi,28.03223,29.763906,26.64921,3.8247867,77.96334,19.333735,5.909042
Kurunegala,25.11409,29.565708,21.949038,4.7298565,83.49926,18.65646,4.1924186
Mannar,27.755913,30.147593,25.948431,3.149941,78.31755,20.315022,5.7562714
Matale,25.11409,29.565708,21.949038,4.7298565,83.49926,18.65646,4.1924186
Matara,27.070253,28.90659,25.67476,5.339242,82.401245,20.146395,4.9270787
Monaragala,24.843206,29.56742,21.446867,5.0143843,81.62447,19.417048,3.429148
Mullaitivu,28.03223,29.763906,26.64921,3.8247867,77.96334,19.333735,5.909042
Nuwara Eliya,22.685253,26.689463,19.82622,5.057172,87.32072,18.081512,3.6439476
Polonnaruwa,27.342031,31.177727,24.542616,4.8425155,78.592186,19.255491,4.5358987
Puttalam,27.134123,30.283674,24.801651,3.7071538,80.21097,20.315022,5.381365
Ratnapura,24.956179,28.975203,22.060604,5.1223617,85.26197,18.081512,3.5574644
Trincomalee,27.825678,30.38918,25.906092,4.4793105,77.87351,19.36128,5.534708
Vavuniya,27.493862,31.257982,24.825895,3.8115256,78.03928,19.058195,4.909128
