district,year,month,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm_total,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
Ampara,2000,1,26.01516,28.56,23.65,30.01,81.6658,15.386129,5.802581
Ampara,2000,2,26.651726,29.62,24.57,81.97,79.83448,18.45345,4.1351724
Ampara,2000,3,27.780968,31.4,25.1,29.9,75.979355,20.471613,3.633226
Ampara,2000,4,29.377,34.75,26.24,62.13,72.11333,22.487,2.7226667
Ampara,2000,5,30.449354,36.52,27.14,34.8,67.8642,22.146774,3.1980646
Ampara,2000,6,29.326666,33.66,26.32,37.34,68.24567,20.104334,4.7549996
Ampara,2000,7,29.423225,34.41,25.73,103.119995,66.57903,22.168066,4.7290325
Ampara,2000,8,28.573227,33.61,25.6,52.89,71.44871,19.714193,4.7080646
Ampara,2000,9,28.606667,34.16,25.73,74.909996,73.749664,20.350334,2.964
Ampara,2000,10,28.529354,33.84,25.47,55.68,71.00259,20.132257,3.147742
Ampara,2000,11,27.313665,30.66,24.8,296.07,79.308334,14.394,4.804
Ampara,2000,12,26.158386,28.65,23.77,138.39,83.519684,12.563871,5.83871
Ampara,2001,1,25.724516,27.59,23.93,208.26999,84.75032,14.690968,5.425161
Ampara,2001,2,25.632143,28.27,22.07,99.46,80.14,20.737501,3.5825
Ampara,2001,3,27.905483,32.99,25.1,1.4100001,73.840004,23.545483,3.1538708
Ampara,2001,4,28.331667,31.9,26.02,116.9,78.11633,20.716667,2.906
Ampara,2001,5,30.174515,34.69,27.05,42.64,72.45549,22.675161,3.204516
Ampara,2001,6,29.363335,34.12,26.33,78.42,70.15867,21.001001,4.665
Ampara,2001,7,29.039354,34.3,25.35,118.979996,69.27742,19.883226,4.1280646
Ampara,2001,8,29.581291,34.44,25.39,12.309999,67.951614,22.127096,3.7806451
Ampara,2001,9,29.105333,35.22,25.85,91.5,70.131,21.116,3.4646668
Ampara,2001,10,28.16,32.98,25.62,89.84,76.24129,19.410645,3.1125805
Ampara,2001,11,27.295332,31.34,25.32,211.34999,79.84334,16.753,3.648
Ampara,2001,12,26.393227,28.59,24.76,199.18001,81.813225,15.450001,4.935484
Ampara,2002,1,26.203548,28.41,23.33,87.64,80.23903,16.07355,4.923871
Ampara,2002,2,26.751072,29.08,23.82,114.93,79.23143,17.4075,5.3714285
Ampara,2002,3,27.746452,31.58,25.12,44.23,77.61484,21.536776,4.048387
Ampara,2002,4,28.561,32.35,26.26,121.87,77.884,20.928333,2.812
Ampara,2002,5,29.389355,33.75,26.53,89.84,77.131615,20.95129,3.5706453
Ampara,2002,6,29.561335,34.94,26.33,51.39,71.19633,20.468332,3.8283334
Ampara,2002,7,29.856129,35.1,26.07,19.34,66.76,21.629032,4.3090324
Ampara,2002,8,29.219355,34.11,26.04,63.29,68.89484,21.408709,4.286452
Ampara,2002,9,29.856667,35.47,25.94,19.43,66.08833,23.313,3.404
Ampara,2002,10,27.924194,32.12,25.28,158.59,77.94646,19.609678,3.09
Ampara,2002,11,26.866667,30.16,24.65,195.38,83.12133,16.616001,3.0383334
Ampara,2002,12,26.527096,29.09,24.2,334.97,83.633224,12.408064,5.213548
Ampara,2003,1,26.053871,27.93,24.05,153.72,81.770966,14.461936,5.2087097
Ampara,2003,2,26.749643,28.61,25.11,82.52,80.66571,18.138214,4.480357
Ampara,2003,3,27.452581,30.05,25.41,91.27,79.83,20.173872,3.538387
Ampara,2003,4,28.614666,31.99,26.07,79.17,76.59,21.123,2.9936666
Ampara,2003,5,29.376127,33.68,26.65,92.84,77.66806,20.057096,3.8300002
Ampara,2003,6,29.172667,33.03,26.28,30.05,74.982666,21.768667,3.9913332
Ampara,2003,7,29.217419,33.59,25.83,26.73,72.76742,19.785807,3.5864515
Ampara,2003,8,29.40645,33.88,26.32,22.65,69.950645,21.177742,3.852258
Ampara,2003,9,29.763,35.05,26.25,37.47,67.428,22.675,3.2960002
Ampara,2003,10,28.981289,34.39,26.09,95.75,72.522575,21.25,3.3709676
Ampara,2003,11,26.897333,29.58,23.79,387.19998,84.462006,12.933667,4.471
Ampara,2003,12,26.604515,28.81,23.92,49.72,80.563545,17.05742,5.2641935
Ampara,2004,1,26.561935,28.78,23.91,82.39,80.05129,16.316774,5.5387096
Ampara,2004,2,26.675861,29.24,23.68,76.87,77.01,19.447586,5.0086207
Ampara,2004,3,27.850967,32.6,23.46,54.61,76.784195,22.40355,3.8087096
Ampara,2004,4,28.790667,33.01,26.03,79.87,77.95467,21.563,3.0306666
Ampara,2004,5,29.590967,34.25,26.6,107.32,73.660645,19.861935,4.0964518
Ampara,2004,6,29.446667,34.54,26.23,43.08,70.335,21.609335,4.428
Ampara,2004,7,29.32387,33.68,26.09,26.01,68.93033,21.04871,4.5
Ampara,2004,8,29.968065,35.07,26.5,19.24,65.99871,22.109678,4.3125806
Ampara,2004,9,28.636,34.08,25.4,186.67,73.601,19.396667,3.0563333
Ampara,2004,10,27.518387,32.34,25.32,264.44,81.49129,18.381613,3.4945161
Ampara,2004,11,27.088999,28.57,25.32,280.4,84.95033,14.394667,4.837667
Ampara,2004,12,26.355808,28.2,23.55,489.79,81.36387,14.194839,5.3429036
Ampara,2005,1,26.469677,28.12,24.85,139.4,81.93742,14.583549,5.470968
Ampara,2005,2,26.770716,28.8,24.39,22.96,78.01179,21.464285,4.639643
Ampara,2005,3,27.702902,31.06,25.84,61.309998,78.731285,20.48871,3.3832257
Ampara,2005,4,28.411335,32.23,25.97,122.99,80.61633,20.731333,2.896
Ampara,2005,5,29.704517,33.27,26.66,59.170002,75.980644,21.282259,3.1025805
Ampara,2005,6,29.815334,34.94,26.64,31.16,71.92433,21.407665,4.5256667
Ampara,2005,7,29.365484,34.52,25.97,45.02,70.5229,20.340322,4.4329033
Ampara,2005,8,29.939678,35.02,26.71,24.72,66.991936,22.308064,3.7735484
Ampara,2005,9,29.385668,35.71,26.36,75.399994,69.86366,20.296667,3.771
Ampara,2005,10,28.443226,32.84,25.76,137.64,75.26742,19.27484,2.7874196
Ampara,2005,11,26.716667,29.96,23.88,333.95,85.36366,15.553333,4.5416665
Ampara,2005,12,26.040323,29.59,23.98,130.08,83.16581,15.9429035,4.511935
Ampara,2006,1,25.50387,27.75,22.98,245.34,83.23775,14.675807,5.065807
Ampara,2006,2,26.242498,28.17,23.97,81.450005,82.14715,17.5975,4.89
Ampara,2006,3,27.529034,30.7,25.92,91.61,80.04,21.69742,3.1203227
Ampara,2006,4,28.785334,34.5,26.13,52.96,75.14267,21.630333,2.3553336
Ampara,2006,5,29.356773,33.55,26.49,73.479996,74.78581,21.39645,3.937742
Ampara,2006,6,29.679333,34.16,26.56,28.34,70.704994,21.605333,3.5463333
Ampara,2006,7,29.230324,33.45,26.31,46.13,69.53355,20.15355,4.6345162
Ampara,2006,8,29.16613,34.76,25.82,64.99,70.13613,22.14613,4.2754836
Ampara,2006,9,28.375668,33.08,25.83,74.54,76.16867,20.568333,4.3966665
Ampara,2006,10,27.935484,34.53,25.37,265.41998,77.99,19.204517,2.9864516
Ampara,2006,11,26.877,28.8,25.16,334.82,84.22167,15.605,3.3996665
Ampara,2006,12,26.702581,28.43,24.34,254.38,79.51645,12.45258,6.1080647
Ampara,2007,1,26.161291,28.12,24.17,156.87,78.55451,15.13742,5.8370967
Ampara,2007,2,26.393215,28.8,23.74,98.49,77.843216,19.2975,4.3510714
Ampara,2007,3,26.79774,29.79,23.98,25.74,75.57677,24.266453,3.43
Ampara,2007,4,27.928667,30.75,26.0,228.93,82.37133,19.672333,3.1780002
Ampara,2007,5,29.407742,33.73,26.41,19.720001,76.50548,22.874193,3.3303225
Ampara,2007,6,29.187334,33.02,26.16,78.78,74.033,18.641333,3.9006667
Ampara,2007,7,28.986452,33.09,26.1,67.78,72.32129,19.972904,3.823871
Ampara,2007,8,29.150644,34.15,26.15,45.14,71.57258,20.870646,3.7993548
Ampara,2007,9,28.676666,33.26,25.83,59.489998,74.67367,19.965334,4.0463333
Ampara,2007,10,27.643227,32.48,25.15,178.49,78.38774,18.352581,3.6222582
Ampara,2007,11,26.908667,29.23,25.26,142.91,79.204,18.141666,3.725
Ampara,2007,12,26.32,29.26,23.34,300.44,81.50387,13.008064,5.550645
Ampara,2008,1,26.01097,28.0,23.74,183.98999,81.83355,15.150645,4.8696775
Ampara,2008,2,26.56586,28.54,24.37,141.61,79.79483,19.047586,4.103793
Ampara,2008,3,26.950968,30.21,24.9,327.72,83.30839,18.892902,3.8312902
Ampara,2008,4,27.695333,31.22,25.76,156.9,81.402336,19.396667,2.6896667
Ampara,2008,5,28.404192,31.21,25.98,19.18,81.618385,22.772259,3.5141935
Ampara,2008,6,28.194,31.59,25.79,72.2,78.370674,19.991333,3.632
Ampara,2008,7,28.491613,32.19,25.67,34.97,75.203224,21.090322,4.230645
Ampara,2008,8,28.575485,33.68,25.74,37.82,73.54388,21.109356,3.6441936
Ampara,2008,9,29.084332,34.52,25.82,30.72,70.27901,23.182001,3.1920002
Ampara,2008,10,28.221613,32.66,25.57,132.26,76.226776,19.10355,3.4067743
Ampara,2008,11,27.291332,30.83,25.21,202.44,80.671,15.999,4.311
Ampara,2008,12,26.52387,28.6,24.54,162.12,80.04226,14.919678,5.1983867
Ampara,2009,1,26.196129,28.43,24.13,105.840004,75.631615,16.57258,5.343226
Ampara,2009,2,26.609285,30.76,23.45,1.5799999,71.02857,21.560715,4.0342855
Ampara,2009,3,27.592903,31.01,24.44,153.7,77.02775,22.15645,2.911613
Ampara,2009,4,28.532999,31.93,26.16,226.95,80.53533,20.646667,3.3073335
Ampara,2009,5,29.34387,32.84,26.85,37.73,75.921616,20.714193,3.3093548
Ampara,2009,6,29.404,34.05,26.29,16.84,72.165665,21.707333,4.3936667
Ampara,2009,7,29.435162,34.23,26.25,10.93,68.730965,20.820322,4.630323
Ampara,2009,8,29.24129,34.62,26.0,62.54,70.83291,20.23516,3.9909678
Ampara,2009,9,29.465334,34.47,26.27,29.73,69.46433,21.807667,3.9160001
Ampara,2009,10,28.44742,33.89,25.67,161.42,71.80613,20.649677,3.5267742
Ampara,2009,11,27.048668,29.88,25.02,430.73,82.821,14.48,3.9420002
Ampara,2009,12,26.709354,28.58,25.01,319.91,84.40355,12.095161,4.764516
Ampara,2010,1,26.374516,28.47,24.09,114.770004,80.61742,16.379677,5.232258
Ampara,2010,2,26.738928,28.68,24.7,63.32,78.98179,19.442858,4.401786
Ampara,2010,3,27.94129,31.72,24.18,78.91,76.49549,22.254194,3.4541936
Ampara,2010,4,28.9,32.02,27.06,206.24,79.84434,21.480999,2.9220002
Ampara,2010,5,29.260645,32.42,26.93,121.89,80.078705,21.719355,3.2454839
Ampara,2010,6,28.694668,32.2,26.24,72.97,77.479004,20.162666,4.3886666
Ampara,2010,7,28.451612,32.49,25.63,70.909996,74.73838,20.188389,4.565161
Ampara,2010,8,28.86742,34.01,25.71,110.11,72.27742,20.295483,3.8303225
Ampara,2010,9,28.330332,33.7,25.42,144.85,74.976,20.034,2.7659998
Ampara,2010,10,27.972904,32.17,25.41,158.83,77.57064,20.226452,3.2987096
Ampara,2010,11,26.785334,30.33,24.84,519.15,82.933,15.681667,3.486
Ampara,2010,12,26.048388,28.86,23.95,574.49,84.63871,12.0874195,4.4525805
Ampara,2011,1,25.624838,27.17,23.86,823.98,86.80032,11.845161,6.1790323
Ampara,2011,2,26.063572,28.42,24.44,500.13998,82.21679,15.442857,4.350357
Ampara,2011,3,27.071291,29.96,24.73,156.36,80.82935,20.75258,3.5096772
Ampara,2011,4,27.832,30.31,25.66,226.64,78.458,22.030333,2.615
Ampara,2011,5,28.64613,31.73,26.06,78.24,81.02935,22.48484,3.3825808
Ampara,2011,6,28.565,32.16,25.87,15.7300005,76.87133,21.878332,4.0296664
Ampara,2011,7,28.640001,32.99,25.77,29.0,73.05,20.207418,4.177097
Ampara,2011,8,28.832903,32.73,25.9,53.01,73.10677,20.772581,3.528387
Ampara,2011,9,28.972332,34.02,25.9,76.06,72.50267,21.757332,3.097
Ampara,2011,10,28.040968,32.43,25.84,361.46,77.729034,19.442259,2.851613
Ampara,2011,11,27.259335,29.32,25.31,353.32,80.54867,15.772666,3.945
Ampara,2011,12,26.614515,28.76,22.7,313.56,82.37516,13.796129,4.983226
Ampara,2012,1,25.895485,28.07,23.8,57.53,77.92903,17.928709,4.3812904
Ampara,2012,2,26.376896,29.19,24.7,169.58,80.61517,17.626207,4.587931
Ampara,2012,3,27.384193,30.04,25.17,58.3,75.84774,22.502258,2.8025806
Ampara,2012,4,28.230665,31.16,26.33,208.67,78.991,20.745667,2.6396668
Ampara,2012,5,29.291292,33.48,25.22,9.35,73.730965,22.529034,3.6809678
Ampara,2012,6,29.328333,34.06,26.03,29.12,72.42333,20.522333,4.5309997
Ampara,2012,7,29.562258,34.99,26.26,38.72,69.64387,21.373869,3.9345162
Ampara,2012,8,29.408386,34.53,26.24,33.06,69.17645,21.302904,4.1851616
Ampara,2012,9,29.043333,34.15,25.8,83.24,72.27067,21.207,3.7343333
Ampara,2012,10,27.636452,32.69,25.7,347.28,80.2371,18.42645,3.840645
Ampara,2012,11,26.990334,29.76,25.02,288.97,81.70733,16.430668,3.285
Ampara,2012,12,26.51,28.31,24.34,593.23,83.93613,13.472903,4.8241935
Ampara,2013,1,26.189678,27.83,23.8,405.59,81.395164,14.75,5.3851614
Ampara,2013,2,26.644285,29.1,25.1,239.79001,81.02929,17.777857,4.3496428
Ampara,2013,3,27.779354,30.27,25.66,159.04,79.660965,20.390322,3.5187097
Ampara,2013,4,28.892,31.72,26.53,140.84,77.442665,22.363667,2.3693335
Ampara,2013,5,28.787418,32.01,26.65,105.17,80.4129,19.921936,3.5625808
