district,year,season,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm_total,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
Ampara,2000,Maha,27.293472,34.16,23.65,706.93,77.85977,17.383333,4.338263
Ampara,2000,Yala,29.430916,36.52,25.6,290.28,69.23804,21.324444,4.0262747
Ampara,2001,Maha,27.185848,35.22,22.07,901.01,78.10915,18.786463,3.9109905
Ampara,2001,Yala,29.30392,34.69,25.35,369.25,71.558624,21.286144,3.7362092
Ampara,2002,Maha,27.411179,35.47,23.33,955.17,78.288734,18.130896,4.147264
Ampara,2002,Yala,29.320786,35.1,26.04,345.73,72.34503,21.082092,3.7670586
Ampara,2003,Maha,27.503115,35.05,23.79,897.65,78.1634,18.100803,4.2325945
Ampara,2003,Yala,29.160915,33.88,25.83,251.44,74.373535,20.77379,3.6528106
Ampara,2004,Maha,27.24061,34.08,23.46,1435.17,79.34385,17.78366,4.4403753
Ampara,2004,Yala,29.428041,35.07,26.03,275.52,71.33967,21.233988,4.078039
Ampara,2005,Maha,27.363161,35.71,23.88,900.74,78.93071,18.186274,4.1511793
Ampara,2005,Yala,29.451635,35.02,25.97,283.06,73.16719,21.215816,3.746601
Ampara,2006,Maha,27.029104,34.53,22.98,1347.56,80.45349,17.390896,4.2759905
Ampara,2006,Yala,29.243725,34.76,25.82,265.9,72.04935,21.383333,3.7603269
Ampara,2007,Maha,26.986605,33.26,23.34,962.43,77.97477,18.288868,4.370802
Ampara,2007,Yala,28.93706,34.15,26.0,440.35,75.32359,20.422613,3.60732
Ampara,2008,Maha,27.23291,34.52,23.74,1180.86,78.90276,18.018217,4.1342254
Ampara,2008,Yala,28.276405,33.68,25.67,321.07,78.0034,20.887386,3.5471244
Ampara,2009,Maha,27.442451,34.47,23.45,1202.91,76.09576,18.434057,4.0642924
Ampara,2009,Yala,29.19438,34.62,26.0,354.99,73.60183,20.820131,3.9273202
Ampara,2010,Maha,27.172688,33.7,23.95,1654.32,79.47052,17.996462,3.8697171
Ampara,2010,Yala,28.83536,34.01,25.63,582.12,76.86033,20.768694,3.7920916
Ampara,2011,Maha,27.097311,34.02,22.7,2584.8801,80.44038,16.977453,4.1334906
Ampara,2011,Yala,28.50719,32.99,25.66,402.62,76.48791,21.468431,3.549477
Ampara,2012,Maha,27.118074,34.15,23.8,1598.13,78.93723,18.22784,3.9199061
Ampara,2012,Yala,29.169216,34.99,25.22,318.92,72.75503,21.303398,3.7969935
Ampara,2013,Maha,27.362358,34.18,23.8,1376.73,78.68174,17.81901,4.1281605
Ampara,2013,Yala,28.559608,33.81,25.65,411.66,76.71209,20.687386,3.9566011
Ampara,2014,Maha,27.224623,35.08,23.82,1932.52,78.87774,17.195518,4.193066
Ampara,2014,Yala,29.348495,34.34,25.73,354.06,72.69915,21.22085,3.9631371
Ampara,2015,Maha,27.166462,33.2,24.14,1554.11,81.32123,17.871132,4.0042925
Ampara,2015,Yala,28.733986,33.26,26.02,586.16,78.126274,21.36477,3.755425
