date,temperature_avg_c,rainfall_mm,humidity_percent,district,forecast_month
2026-01-01,26.096289,5.4686995,80.399445,Ampara,1
2026-02-01,26.706768,3.1294918,78.21109,Ampara,2
2026-03-01,28.052452,3.2971497,76.71602,Ampara,3
2026-04-01,28.959057,4.3919535,77.626175,Ampara,4
2026-05-01,29.079853,4.5383835,78.09507,Ampara,5
2026-06-01,28.642776,2.8320627,76.13889,Ampara,6
2026-07-01,28.478615,1.8460113,73.0526,Ampara,7
2026-08-01,28.6948,1.8348229,72.15012,Ampara,8
2026-09-01,28.765917,2.6412396,74.27996,Ampara,9
2026-10-01,28.191101,7.162163,79.2802,Ampara,10
2026-11-01,27.222818,11.365433,82.78965,Ampara,11
2026-12-01,26.538828,9.188811,82.23282,Ampara,12
2026-01-01,23.863443,4.7473335,86.738045,Anuradhapura,1
2026-02-01,24.70446,3.1675084,82.38276,Anuradhapura,2
2026-03-01,26.982683,2.8740199,76.233154,Anuradhapura,3
2026-04-01,28.244196,3.5083342,76.41425,Anuradhapura,4
2026-05-01,28.30965,3.4801152,77.56561,Anuradhapura,5
2026-06-01,28.057896,2.2570784,75.71115,Anuradhapura,6
2026-07-01,27.933302,1.6358968,73.62638,Anuradhapura,7
2026-08-01,27.94672,1.7108171,73.04154,Anuradhapura,8
2026-09-01,27.846771,2.5799031,74.80407,Anuradhapura,9
2026-10-01,26.84568,7.4120283,81.07061,Anuradhapura,10
2026-11-01,25.593287,11.4999695,87.94649,Anuradhapura,11
2026-12-01,24.661047,9.47119,88.11865,Anuradhapura,12
2026-01-01,23.041594,5.8807693,89.50814,Badulla,1
2026-02-01,23.918571,4.376297,85.53636,Badulla,2
2026-03-01,25.312983,3.8035586,81.17029,Badulla,3
2026-04-01,25.958143,5.089588,81.02114,Badulla,4
2026-05-01,25.605028,6.1609344,82.74965,Badulla,5
2026-06-01,24.950365,4.18586,83.402145,Badulla,6
2026-07-01,24.940283,3.6288953,81.14638,Badulla,7
