date,district,latitude,longitude,temperature_avg_c,temperature_max_c,temperature_min_c,rainfall_mm,humidity_percent,solar_radiation_mj_m2_day,wind_speed_m_s
2000-01-01,Ampara,7.2917,81.672,25.49,26.65,24.5,0.02,77.67,16.3,6.55
2000-01-02,Ampara,7.2917,81.672,25.61,26.47,24.96,0.04,88.04,10.51,7.15
2000-01-03,Ampara,7.2917,81.672,25.76,26.46,25.26,0.02,87.67,4.25,6.8
2000-01-04,Ampara,7.2917,81.672,25.45,26.16,25.06,0.01,88.5,12.88,6.98
2000-01-05,Ampara,7.2917,81.672,25.81,26.66,25.12,0.07,88.59,11.23,6.26
2000-01-06,Ampara,7.2917,81.672,25.91,26.88,25.21,7.25,88.92,11.05,5.41
2000-01-07,Ampara,7.2917,81.672,25.87,26.91,25.29,5.25,87.99,11.4,6.79
2000-01-08,Ampara,7.2917,81.672,25.85,26.54,25.19,0.72,88.26,14.27,5.46
2000-01-09,Ampara,7.2917,81.672,25.69,27.01,24.72,4.07,87.68,15.76,4.1
2000-01-10,Ampara,7.2917,81.672,25.97,26.97,25.04,7.09,87.55,17.65,4.62
2000-01-11,Ampara,7.2917,81.672,26.28,27.1,25.54,4.82,86.56,13.72,4.93
2000-01-12,Ampara,7.2917,81.672,26.34,27.45,25.45,0.08,84.9,16.97,5.24
2000-01-13,Ampara,7.2917,81.672,26.13,27.29,25.17,0.01,85.29,8.83,5.4
2000-01-14,Ampara,7.2917,81.672,25.54,26.43,24.85,0.04,89.94,7.4,4.0
2000-01-15,Ampara,7.2917,81.672,25.1,25.56,24.71,0.03,89.73,15.18,3.85
2000-01-16,Ampara,7.2917,81.672,25.92,27.19,25.01,0.0,86.45,14.01,4.75
2000-01-17,Ampara,7.2917,81.672,26.13,27.4,25.06,0.0,80.06,16.99,6.08
2000-01-18,Ampara,7.2917,81.672,26.24,27.55,25.16,0.0,76.97,21.78,6.96
2000-01-19,Ampara,7.2917,81.672,26.55,27.93,25.44,0.0,72.64,20.9,6.01
2000-01-20,Ampara,7.2917,81.672,25.52,26.86,24.17,0.0,76.24,19.44,5.19
2000-01-21,Ampara,7.2917,81.672,25.38,27.19,23.79,0.0,73.09,21.69,4.03
2000-01-22,Ampara,7.2917,81.672,25.37,27.33,23.92,0.0,72.15,21.37,4.1
2000-01-23,Ampara,7.2917,81.672,25.21,26.88,23.65,0.0,80.42,20.38,4.49
2000-01-24,Ampara,7.2917,81.672,26.23,27.85,24.78,0.0,77.23,19.5,5.01
2000-01-25,Ampara,7.2917,81.672,26.13,27.5,25.19,0.0,73.1,19.77,6.32
2000-01-26,Ampara,7.2917,81.672,26.12,27.48,24.91,0.0,70.11,19.43,6.73
2000-01-27,Ampara,7.2917,81.672,26.58,27.9,25.49,0.0,77.4,13.91,6.98
2000-01-28,Ampara,7.2917,81.672,27.16,28.51,26.24,0.0,81.53,8.27,7.57
2000-01-29,Ampara,7.2917,81.672,27.28,28.51,26.5,0.0,80.69,15.68,7.4
2000-01-30,Ampara,7.2917,81.672,27.25,28.56,26.24,0.04,73.99,17.8,7.64
2000-01-31,Ampara,7.2917,81.672,26.6,27.95,25.58,0.45,72.28,18.65,7.08
2000-02-01,Ampara,7.2917,81.672,26.71,27.89,25.61,8.1,83.53,10.71,6.94
2000-02-02,Ampara,7.2917,81.672,26.86,28.0,26.07,5.73,85.59,7.27,5.88
2000-02-03,Ampara,7.2917,81.672,26.72,27.95,26.04,18.4,86.42,15.28,5.26
2000-02-04,Ampara,7.2917,81.672,26.57,27.99,25.7,21.25,86.94,7.41,5.02
2000-02-05,Ampara,7.2917,81.672,26.4,27.78,25.46,1.72,80.98,21.12,4.94
2000-02-06,Ampara,7.2917,81.672,26.08,27.87,24.82,0.56,79.19,20.69,3.64
2000-02-07,Ampara,7.2917,81.672,25.92,27.67,24.69,0.12,79.27,22.39,2.87
2000-02-08,Ampara,7.2917,81.672,26.03,27.93,24.57,0.02,79.4,21.69,3.46
2000-02-09,Ampara,7.2917,81.672,26.44,28.59,24.77,0.01,73.86,22.39,3.06
2000-02-10,Ampara,7.2917,81.672,26.85,28.84,25.37,0.0,73.68,23.78,3.1
2000-02-11,Ampara,7.2917,81.672,26.92,28.9,25.59,0.01,74.92,21.99,3.35
2000-02-12,Ampara,7.2917,81.672,26.47,28.57,25.0,0.03,74.19,22.17,4.03
2000-02-13,Ampara,7.2917,81.672,26.07,27.9,24.57,0.01,75.76,21.23,4.07
2000-02-14,Ampara,7.2917,81.672,26.55,28.4,24.89,0.35,80.11,11.38,6.06
2000-02-15,Ampara,7.2917,81.672,26.85,28.68,25.52,0.05,77.66,19.07,5.68
2000-02-16,Ampara,7.2917,81.672,27.01,28.66,25.71,0.73,74.8,18.9,5.61
2000-02-17,Ampara,7.2917,81.672,27.22,28.84,26.14,1.07,78.8,16.06,5.75
2000-02-18,Ampara,7.2917,81.672,26.68,27.99,25.81,0.16,81.53,20.27,4.12
2000-02-19,Ampara,7.2917,81.672,26.28,27.37,25.54,0.27,83.57,18.54,3.45
2000-02-20,Ampara,7.2917,81.672,26.09,27.51,25.28,0.14,82.84,17.33,2.94
2000-02-21,Ampara,7.2917,81.672,26.2,27.72,25.19,0.19,80.73,18.2,1.88
2000-02-22,Ampara,7.2917,81.672,26.57,27.96,25.27,0.24,82.31,22.59,2.76
2000-02-23,Ampara,7.2917,81.672,26.96,28.81,25.77,0.05,81.29,23.6,2.89
2000-02-24,Ampara,7.2917,81.672,26.61,28.49,25.34,0.32,79.52,14.55,3.44
2000-02-25,Ampara,7.2917,81.672,27.02,29.62,25.33,0.25,77.17,21.27,2.51
2000-02-26,Ampara,7.2917,81.672,27.07,29.09,25.73,9.6,78.01,20.75,2.4
2000-02-27,Ampara,7.2917,81.672,26.94,28.6,25.85,10.27,79.78,18.38,3.08
2000-02-28,Ampara,7.2917,81.672,27.42,29.19,26.03,0.26,82.06,19.24,4.55
2000-02-29,Ampara,7.2917,81.672,27.39,28.8,26.44,2.06,81.29,16.9,7.18
2000-03-01,Ampara,7.2917,81.672,27.3,28.75,26.23,0.39,78.31,19.2,6.76
2000-03-02,Ampara,7.2917,81.672,27.47,28.98,26.36,0.88,79.83,19.15,5.81
2000-03-03,Ampara,7.2917,81.672,27.26,28.45,26.43,2.08,81.69,17.56,5.03
2000-03-04,Ampara,7.2917,81.672,27.48,29.06,26.24,0.27,77.78,12.97,4.03
2000-03-05,Ampara,7.2917,81.672,27.18,28.66,26.17,4.97,81.29,15.83,4.08
2000-03-06,Ampara,7.2917,81.672,26.99,28.04,26.32,7.76,83.71,11.13,3.24
2000-03-07,Ampara,7.2917,81.672,27.02,28.69,25.9,0.25,81.26,15.3,2.72
2000-03-08,Ampara,7.2917,81.672,28.1,31.14,25.75,0.01,75.69,22.65,2.86
2000-03-09,Ampara,7.2917,81.672,28.38,30.38,27.08,0.02,75.89,23.03,2.39
2000-03-10,Ampara,7.2917,81.672,28.22,30.57,26.57,0.0,76.76,23.58,3.54
2000-03-11,Ampara,7.2917,81.672,28.09,30.6,26.59,0.01,74.27,22.92,3.37
2000-03-12,Ampara,7.2917,81.672,27.85,30.28,26.02,0.39,76.16,23.6,3.42
