District,Season,Crop,Year,Cultivated Area,Production
Ampara,Maha,Ash Plantain,2018,227.57,5647.98
Ampara,Maha,Ash Plantain,2018,116.99,3320.1
Ampara,Maha,Banana,2018,176.93,5122.97
Ampara,Maha,Beans,2018,47.75,446.66
Ampara,Maha,Beans,2018,67.14,633.36
Ampara,Maha,Beans,2018,73.23,656.48
Ampara,Maha,Black Gram,2018,31.24,201.03
Ampara,Maha,Carrot,2018,77.8,1267.06
Ampara,Maha,Carrot,2018,66.16,808.93
Ampara,Maha,Cassava,2018,118.85,2657.79
Ampara,Maha,Cauliflower,2018,81.82,1081.15
Ampara,Maha,Chilli,2018,53.98,399.64
Ampara,Maha,Chilli,2018,61.09,466.1
Ampara,Maha,Chilli,2018,50.75,546.06
Ampara,Maha,Cinnamon,2018,32.51,149.55
Ampara,Maha,Cinnamon,2018,31.31,150.28
Ampara,Maha,Cinnamon,2018,33.31,136.14
Ampara,Maha,Cinnamon,2018,30.11,161.63
Ampara,Maha,Coconut,2018,122.37,3771.16
Ampara,Maha,Cowpea,2018,43.34,306.84
Ampara,Maha,Green Gram,2018,66.71,444.27
Ampara,Maha,Groundnut,2018,53.91,508.89
Ampara,Maha,Leeks,2018,60.2,665.95
Ampara,Maha,Leeks,2018,44.71,539.35
Ampara,Maha,Leeks,2018,55.89,574.37
Ampara,Maha,Mango,2018,161.08,3644.84
Ampara,Maha,Mango,2018,132.87,3773.15
Ampara,Maha,Pumpkin,2018,88.75,1213.77
Ampara,Maha,Pumpkin,2018,159.55,2966.53
Ampara,Maha,Red Onion,2018,52.79,462.73
Ampara,Maha,Rice,2018,202.61,4708.09
Ampara,Maha,Ridge Gourd,2018,48.44,567.07
Ampara,Maha,Sesame,2018,64.89,363.53
Ampara,Maha,Soybean,2018,45.7,370.08
Ampara,Maha,Sweet Potato,2018,59.2,747.83
Ampara,Maha,Sweet Potato,2018,68.76,852.63
Ampara,Maha,Taro,2018,86.91,1035.97
