district,latitude,longitude,ph,nitrogen,clay,sand,silt,soc
Kandy,7.2906,80.6337,1.5444444444444445,0.8501388888888889,9.5875,10.65,5.845833333333333,10.247222222222224
Matale,7.4675,80.6234,2.013888888888889,1.0880555555555556,8.570833333333333,15.786111111111111,8.045833333333333,10.965277777777777
Nuwara Eliya,6.9497,80.7891,1.9513888888888888,1.45875,12.109722222222222,12.831944444444446,8.131944444444445,17.87361111111111
Badulla,6.9934,81.055,2.0805555555555557,1.2873611111111112,11.425,14.373611111111112,8.463888888888889,11.498611111111112
Kurunegala,7.4863,80.3647,1.45,0.8695833333333333,9.248611111111112,8.5,6.751388888888888,8.4375
Anuradhapura,8.3114,80.4037,5.486111111111112,1.7718055555555554,19.461111111111112,48.0375,15.719444444444445,17.304166666666667
Polonnaruwa,7.9403,81.0188,5.695833333333334,3.067083333333333,19.629166666666666,25.569444444444446,30.30833333333333,26.031944444444445
Ampara,7.2912,81.6724,2.4458333333333333,1.2333333333333334,12.008333333333333,13.04861111111111,9.519444444444444,13.619444444444445
Hambantota,6.1429,81.1212,4.959722222222222,1.4572222222222222,18.731944444444444,27.320833333333333,17.75138888888889,16.383333333333333
Monaragala,6.8728,81.3507,5.3597222222222225,2.3756944444444446,24.370833333333334,37.06111111111111,20.481944444444444,26.03472222222222
